Country	Year	Organization	Publisher	Material	Resource.type	CostUSD	CostEUR	CostNAT	Cost
Finland	2010	Tampere University of Applied Sciences (TAMK)	BTJ Kirjastopalvelu	aleksi	reference database	4454.01199344763	4016	3357.12691383328	4016
Finland	2010	Turku University of Applied Sciences	BTJ Kirjastopalvelu	aleksi	reference database	4454.01199344763	4016	3357.12691383328	4016
Finland	2010	University of Turku	BTJ Kirjastopalvelu	aleksi	reference database	4824.44028174731	4350	3636.33019800168	4350
Finland	2010	Åbo Akademi University	BTJ Kirjastopalvelu	artikelsök	reference database	3454.74286842365	3115	2603.94679695983	3115
Finland	2010	Aalto University	Bureau van Dijk	bankscope; orbis; zephyr	other electronic service	44966.0015593478	40544	33892.2693213288	40544
Finland	2010	University of Turku	Burgundy	liebert journals	full text materials	5553.09712430087	5007	4185.54144859642	5007
Finland	2010	Åbo Akademi University	Cambridge University Press	cambridge histories online	reference resource	1161.19286781366	1047	875.22706145006	1047
Finland	2010	Aalto University	Cengage Learning	eighteenth century collections online	ebook package	0	0	0	0
Finland	2010	Hanken School of Economics	Cengage Learning	encyclopedia of finance; encyclopedia of management	dictionary	70.9802708119145	64	53.5000304993351	64
Finland	2010	University of Helsinki	Cengage Learning	literature resource center	reference resource	4614.82666950588	4161	3478.33792043333	4161
Finland	2010	University of Eastern Finland	Cengage Learning	eighteenth century collections online / ecco	ebook package	0	0	0	0
Finland	2010	University of Jyväskylä	Cengage Learning	literature resource center (lrc)	reference resource	4614.82666950588	4161	3478.33792043333	4161
Finland	2010	Seinäjoki University of Applied Sciences (SeAMK)	Cengage Learning	eighteenth century collections online	ebook package	0	0	0	0
Finland	2010	University of Tampere	Cengage Learning	lrc literat. resource center	reference resource	4614.82666950588	4161	3478.33792043333	4161
Finland	2010	HAAGA-HELIA University of Applied Sciences	Centre for Agriculture and Biosciences International (CABI)	leisure and tourism	reference database	1570.43849171361	1416	1183.68817479779	1416
Finland	2010	Aalto University	Centre for Economic Policy Research (CEPR)	cepr discussion papers	full text materials	1141.22966664781	1029	860.180177872122	1029
Finland	2010	Hanken School of Economics	Centre for Economic Policy Research (CEPR)	discussion papers	full text materials	1427.36888335834	1287	1075.85217582257	1287
